Tail Number,System,Sub-System,Registration Time,Closing Time,Validated?,Register Profession,Closer Profession
842,63,A,23/01/2019 20:41,24/01/2019 10:53,TRUE,Pilot,Class B Avionics Tech
837,44,C,23/01/2019 20:41,23/01/2019 22:18,TRUE,Pilot,Class A Electricity Tech
837,65,A,23/01/2019 20:41,23/01/2019 23:02,TRUE,Pilot,Class B Avionics Tech
967,44,A,23/01/2019 21:01,24/01/2019 12:07,TRUE,Pilot,Class A Electricity Tech
905,11,J,24/01/2019 10:10,24/01/2019 10:58,TRUE,Class A Tech,Class B Structurer Tech
905,11,L,24/01/2019 10:12,24/01/2019 10:55,TRUE,Class A Tech,Class B Structurer Tech
905,11,E,24/01/2019 10:13,24/01/2019 10:56,TRUE,Class A Tech,Class B Structurer Tech
842,11,E,24/01/2019 10:31,24/01/2019 17:54,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
820,11,C,24/01/2019 15:00,24/01/2019 16:51,TRUE,Class B Structurer Tech,Class B Structurer Tech
842,13,D,24/01/2019 15:01,24/01/2019 15:12,TRUE,Class A Tech,Class A Tech
801,11,C,24/01/2019 15:06,24/01/2019 15:45,TRUE,Class A Tech,Class B Structurer Tech
812,75,W,24/01/2019 16:56,24/01/2019 23:32,FALSE,Pilot,Class A Tech
845,74,F,24/01/2019 19:10,24/01/2019 19:11,TRUE,Class B Avionics Tech,Class B Avionics Tech
834,46,J,27/01/2019 9:50,18/07/2019 14:18,TRUE,Class A Electricity Tech,Class A Electricity Tech
961,74,5,27/01/2019 11:17,27/01/2019 11:20,TRUE,Class B Avionics Tech,Class B Avionics Tech
961,74,1,27/01/2019 11:19,27/01/2019 11:20,TRUE,Class B Avionics Tech,Class B Avionics Tech
,74,1,27/01/2019 11:19,27/01/2019 11:20,TRUE,Class B Avionics Tech,Class B Avionics Tech
845,62,W,27/01/2019 12:01,27/01/2019 16:09,TRUE,Pilot,Class A Officer
842,11,E,27/01/2019 14:51,27/01/2019 14:52,TRUE,Class B Structurer Tech,Class B Structurer Tech
,11,E,27/01/2019 14:51,27/01/2019 14:52,TRUE,Class B Structurer Tech,Class B Structurer Tech
828,11,E,27/01/2019 20:17,29/01/2019 18:04,TRUE,Class A Heli Struct Sys Tech,Class A Airborne Mechanic
828,16,A,28/01/2019 8:28,29/01/2019 18:32,TRUE,Class A Airborne Mechanic,Class A Electricity Tech
830,11,E,28/01/2019 10:17,30/01/2019 15:13,TRUE,Class A Heli Struct Sys Tech,Class A Tech
961,45,B,28/01/2019 12:35,28/01/2019 12:40,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
834,49,E,28/01/2019 12:49,17/07/2019 14:13,TRUE,Class A Tech,Class A Armament Tech
837,74,W,28/01/2019 14:46,28/01/2019 16:36,TRUE,Pilot,Class B Avionics Tech
905,14,H,28/01/2019 15:11,28/01/2019 18:10,FALSE,Pilot,Class B Flight Control Tech
828,11,E,28/01/2019 15:14,29/01/2019 18:10,TRUE,Class A Airborne Mechanic,Class A Airborne Mechanic
842,45,B,28/01/2019 15:16,28/01/2019 16:55,TRUE,Pilot,Class A Heli Struct Sys Tech
828,11,E,28/01/2019 15:16,28/01/2019 17:01,TRUE,Class A Airborne Mechanic,Class A Airborne Mechanic
828,74,L,28/01/2019 17:21,29/01/2019 12:11,TRUE,Class B Avionics Tech,Class B Avionics Tech
828,74,1,28/01/2019 17:24,30/01/2019 11:42,TRUE,Class B Avionics Tech,Class B Avionics Tech
,74,1,28/01/2019 17:24,30/01/2019 11:42,TRUE,Class B Avionics Tech,Class B Avionics Tech
828,62,C,28/01/2019 17:26,29/01/2019 12:08,TRUE,Class B Avionics Tech,Class B Avionics Tech
828,74,I,28/01/2019 17:27,29/01/2019 12:00,TRUE,Class B Avionics Tech,Class B Avionics Tech
967,13,C,28/01/2019 17:35,28/01/2019 19:16,TRUE,Pilot,Class A Heli Struct Sys Tech
938,71,I,28/01/2019 18:11,28/01/2019 22:25,TRUE,Pilot,Class B Avionics Tech
967,14,C,28/01/2019 20:33,28/01/2019 22:52,FALSE,Pilot,Class B Flight Control Tech
804,15,B,28/01/2019 20:42,28/01/2019 20:53,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
961,74,5,28/01/2019 21:01,29/01/2019 17:01,TRUE,Pilot,Class B Avionics Tech
956,26,A,28/01/2019 22:31,29/01/2019 15:20,TRUE,Pilot,Class A Heli Struct Sys Tech
812,74,P,28/01/2019 23:38,31/01/2019 9:32,TRUE,Class B Avionics Tech,Class A Officer
812,74,6,28/01/2019 23:39,31/01/2019 9:34,TRUE,Class B Avionics Tech,Class A Officer
921,24,1,29/01/2019 10:58,28/02/2019 7:39,TRUE,Class A Airborne Mechanic,Class A Heli Struct Sys Tech
801,74,5,29/01/2019 12:00,29/01/2019 15:47,TRUE,Class B Avionics Tech,Class B Avionics Tech
967,24,0,29/01/2019 12:31,30/01/2019 16:43,TRUE,Pilot,Class A Heli Struct Sys Tech
815,24,1,29/01/2019 15:19,29/01/2019 17:10,TRUE,Class A Airborne Mechanic,Class B Engine Tech
905,13,D,29/01/2019 15:37,29/01/2019 15:46,TRUE,Class A Tech,Class A Tech
905,44,A,29/01/2019 15:40,29/01/2019 17:06,TRUE,Class A Electricity Tech,Class A Electricity Tech
801,49,E,29/01/2019 15:47,29/01/2019 21:03,TRUE,Class A Tech,Class A Airborne Mechanic
830,26,G,29/01/2019 16:10,29/01/2019 16:17,TRUE,Class A Electricity Tech,Class A Electricity Tech
905,26,C,29/01/2019 16:26,30/01/2019 13:50,TRUE,Class A Tech,Class A Tech
830,11,E,29/01/2019 16:43,29/01/2019 17:51,TRUE,Class B Structurer Tech,Class B Structurer Tech
830,11,E,29/01/2019 16:45,30/01/2019 15:25,TRUE,Class B Structurer Tech,Class A Tech
845,62,E,29/01/2019 17:11,29/01/2019 17:12,TRUE,Class B Avionics Tech,Class B Avionics Tech
806,74,2,29/01/2019 18:43,29/01/2019 20:15,TRUE,Class B Avionics Tech,Class B Avionics Tech
828,44,B,29/01/2019 18:45,29/01/2019 18:49,TRUE,Class A Electricity Tech,Class A Electricity Tech
828,12,C,29/01/2019 18:55,29/01/2019 18:56,TRUE,Class A Electricity Tech,Class A Electricity Tech
938,75,B,29/01/2019 19:11,30/01/2019 10:14,TRUE,Pilot,Class A Armament Tech
828,12,C,29/01/2019 19:37,30/01/2019 13:33,TRUE,Class A Electricity Tech,Class A Airborne Mechanic
801,15,A,29/01/2019 19:37,30/01/2019 7:43,TRUE,Class A Armament Tech,Class A Heli Struct Sys Tech
801,45,F,29/01/2019 19:40,29/01/2019 20:56,TRUE,Class A Armament Tech,Class A Airborne Mechanic
921,11,E,29/01/2019 22:26,28/02/2019 7:39,TRUE,Class A Airborne Mechanic,Class A Heli Struct Sys Tech
845,76,F,30/01/2019 9:43,30/01/2019 12:29,FALSE,Class B Avionics Tech,Class B Avionics Tech
801,63,A,30/01/2019 11:16,30/01/2019 15:02,FALSE,Pilot,Class B Avionics Tech
828,41,A,30/01/2019 11:56,30/01/2019 12:56,TRUE,Class A Electricity Tech,Class A Electricity Tech
828,11,C,30/01/2019 16:40,12/02/2019 16:34,TRUE,Class A Airborne Mechanic,Class A Officer
966,74,2,30/01/2019 16:51,30/01/2019 23:27,FALSE,Pilot,Class B Avionics Tech
966,44,C,30/01/2019 16:51,31/01/2019 9:08,TRUE,Pilot,Class A Electricity Tech
801,74,G,30/01/2019 18:41,30/01/2019 21:19,TRUE,Pilot,Class B Avionics Tech
801,74,E,30/01/2019 18:41,30/01/2019 21:20,TRUE,Pilot,Class B Avionics Tech
842,63,A,30/01/2019 18:41,31/01/2019 9:57,TRUE,Pilot,Class B Avionics Tech
830,42,B,30/01/2019 19:14,30/01/2019 19:21,TRUE,Class A Electricity Tech,Class A Electricity Tech
815,75,K,30/01/2019 20:16,31/01/2019 13:43,TRUE,Pilot,Class A Armament Tech
938,13,C,30/01/2019 20:21,31/01/2019 8:57,TRUE,Pilot,Class A Heli Struct Sys Tech
938,22,F,30/01/2019 20:21,31/01/2019 10:19,FALSE,Pilot,Class B Engine Tech
837,71,B,30/01/2019 21:11,30/01/2019 21:27,TRUE,Class B Avionics Tech,Class B Avionics Tech
828,12,C,31/01/2019 11:38,31/01/2019 15:13,TRUE,Class A Airborne Mechanic,Class A Airborne Mechanic
820,76,D,31/01/2019 12:35,31/01/2019 16:45,TRUE,Class B Avionics Tech,Class B Avionics Tech
828,65,A,31/01/2019 14:24,31/01/2019 18:52,TRUE,Class B Avionics Tech,Class B Avionics Tech
830,41,A,31/01/2019 16:29,03/02/2019 16:16,TRUE,Pilot,Class A Heli Struct Sys Tech
820,76,D,31/01/2019 16:52,31/01/2019 16:54,TRUE,Class B Avionics Tech,Class B Avionics Tech
905,90,A,31/01/2019 21:49,01/02/2019 0:22,TRUE,Class A Electricity Tech,Class A Heli Struct Sys Tech
905,76,A,31/01/2019 22:54,31/01/2019 22:55,TRUE,Class B Avionics Tech,Class B Avionics Tech
828,65,A,01/02/2019 13:55,04/02/2019 19:57,TRUE,Class B Avionics Tech,Class B Avionics Tech
845,76,A,01/02/2019 14:35,01/02/2019 14:36,TRUE,Class B Avionics Tech,Class B Avionics Tech
935,76,A,02/02/2019 20:22,02/02/2019 20:23,TRUE,Class B Avionics Tech,Class B Avionics Tech
967,47,F,03/02/2019 10:26,03/02/2019 10:40,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
845,15,A,03/02/2019 10:36,04/02/2019 14:36,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
845,11,W,03/02/2019 11:41,03/02/2019 11:42,TRUE,Class A Electricity Tech,Class A Electricity Tech
